Cluster,Name,vCPUs
PHX-POC315 ,PC-VM-3 ,6 
PHX-POC315 ,suri-ad ,4 
PHX-POC315 ,VM-@@(calm_time)@@ ,2 
PHX-POC315 ,VM-240122-024024 ,12 
PHX-POC315 ,test-vm ,4 
PHX-POC315 ,NTNX-PHX-POC315-4-CVM ,10 
PHX-POC315 ,NTNX-PHX-POC315-1-CVM ,10 
PHX-POC315 ,VM-240122-022044 ,2 
PHX-POC315 ,AD_Core ,2 
PHX-POC315 ,PC-VM-2 ,6 
PHX-POC315 ,AutoDC VM ,4 
PHX-POC315 ,NTNX-PHX-POC315-2-CVM ,10 
PHX-POC315 ,Rushabh-AD-server-DND ,12 
PHX-POC315 ,Windows_VM_2016 ,2 
PHX-POC315 ,Windows 10 VM ,4 
PHX-POC315 ,Project-PS-Rush-DND ,8 
PHX-POC315 ,test ,4 
PHX-POC315 ,ScalingDemoVM-2-240122-233943 ,1 
PHX-POC315 ,VM_from_template ,4 
PHX-POC315 ,VM-240122-032133 ,2 
PHX-POC315 ,PC-VM-1 ,6 
PHX-POC315 ,Move VM ,4 
PHX-POC315 ,Windows 2012 VM ,4 
PHX-POC315 ,ScalingDemoVM-1-240122-233943 ,1 
PHX-POC315 ,vm_name ,2 
PHX-POC315 ,NTNX-PHX-POC315-3-CVM ,10 
PHX-POC315 ,ScalingDemoVM-0-240122-232107 ,1 
PHX-POC315 ,Mini-PR-Rush-DND ,12 
PHX-POC315 ,DSS-2 ,8 
PHX-POC315 ,Move VM ,4 
